p_delta,i_delta,ise
-0.1,-0.03,3167500.0
0.0,-0.03,1942500.0
0.1,-0.03,1402500.0
-0.1,0.0,3403125.0
0.0,0.0,1996875.0
0.1,0.0,1315000.0
-0.1,0.03,3235000.0
0.0,0.03,2021250.0
0.1,0.03,1454375.0
