elapsed_ms,rpm,current_val1,current_val2
13,0,-0.10,0.05
204,575,,
404,800,,
604,650,,
806,950,,
1012,750,-0.29,-0.15
1205,950,,
1406,875,,
1606,975,,
1806,900,,
2012,975,-0.49,-0.59
2206,950,,
2406,1000,,
2606,975,,
2806,1025,,
3012,950,-0.59,-0.54
3206,1025,,
3406,975,,
3606,1025,,
3806,950,,
4012,1000,-0.44,-0.44
4206,1025,,
4406,975,,
4606,1000,,
4806,1000,,
5011,975,-0.49,-0.54
5205,1025,,
5406,1000,,
5606,1000,,
5806,975,,
6012,1050,-0.49,-0.39
6205,975,,
6406,1000,,
6606,1000,,
6806,1000,,
